Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Цимбал,Орест,Анатолійович,Чоловіча,1986-01-21,Промисловець,село Ланівці,"сквер Хаджибейський, буд. 533, Сквира, 21658",+380 42 031-90-48,jdarahan@example.org
Дзюба,Семен,Павлович,Чоловіча,1956-06-30,Мірошник,село Шепетівка,"парк Лиманчик 2-й Лінія 3-тя, буд. 435 кв. 04, Хрестівка, 73729",+380 (50) 208-53-55,bairakalina@example.org
Шелест,Георгій,Петрович,Чоловіча,1973-10-27,Музикознавець,хутір Татарбунари,"провулок Житомирський 3-й, буд. 77 кв. 85, Кадіївка, 28459",829-93-30,vtalan@example.net
Опанасенко,Костянтин,Володимирович,Чоловіча,1969-10-16,Промисловець,місто Південне,"площа Дубовий гай, буд. 35, Добропілля, 97037",+380 (01) 733-42-06,ievtushenkookhrim@example.com
Бебешко,Кирило,Петрович,Чоловіча,1986-06-29,Епідеміолог,село Балаклія,"проспект Азовський, буд. 1, Сіверськодонецьк, 67192",042 96 19,zbaranets@example.com
Верменич,Макар,Михайлович,Чоловіча,1945-03-03,Конструктор,село Жидачів,"набережна Місячна, буд. 96, Лутугине, 93506",+380 96 171-70-20,oleksandrkashchenko@example.net
Оніщук,Аркадій,Іванович,Чоловіча,1958-09-24,Фармацевт,місто Верхівцеве,"сквер Південна, буд. 240 кв. 717, Бахмут, 75611",181 61 33,priska90@example.net
Дацюк,Варфоломій,Павлович,Чоловіча,1952-03-31,Парфюмер,хутір Кропивницький,"узвіз Грецька, буд. 79, Скадовськ, 36514",867-46-12,sviatoslavamedvedenko@example.com
Якимчук,Аарон,Михайлович,Чоловіча,1977-03-27,Випробувач,місто Чернігів,"площа Шевченка, буд. 79 кв. 6, Хуст, 10479",584 15 72,pshamrai@example.com
Лисенко,Франц,Анатолійович,Чоловіча,1977-02-23,Електрик,село Прилуки,"парк Овідіопольська дуга, буд. 51, Ромни, 11161",022 267-20-59,taranborys@example.net
Ємельяненко,Святослав,Михайлович,Чоловіча,1986-10-20,Різноробочий,місто Бердичів,"шосе Савранський, буд. 96 кв. 413, Городок, 40100",375-99-63,iishchak@example.com
Рак,Пармен,Іванович,Чоловіча,1949-10-25,Мікробіолог,хутір Кропивницький,"узвіз Зелений, буд. 21, Бердянськ, 65826",474 32 64,dilienko@example.com
Годунок,Ярослав,Володимирович,Чоловіча,1948-01-01,Гірничий інженер,хутір Малин,"провулок Орликова, буд. 173, Ланівці, 86371",+380 37 648-50-94,utsybulenko@example.net
Твердохліб,Назар,Андрійович,Чоловіча,1968-11-04,Вчитель,місто Ірміно,"провулок Халайджогло, буд. 48, Кролевець, 42446",335 56 70,olesartiukh@example.com
Акуленко,Орест,Павлович,Чоловіча,1999-10-03,Головний меркшейдер,хутір Вільногірськ,"вулиця Художника Федорова, буд. 8 кв. 46, Новоселиця, 06568",566 73 67,htkachenko@example.org
Гаврилюк,Пантелеймон,Павлович,Чоловіча,1945-05-20,Професор,місто Бахмут,"парк Миргородський, буд. 03 кв. 5, Берестечко, 83199",+380 (28) 856-93-80,riaboshapkaeduard@example.org
Товстоліс,Борислав,Сергійович,Чоловіча,2008-03-07,Няня,хутір Болехів,"площа Амундсена, 1-й, буд. 5, Хотин, 55853",+380 82 869-53-89,datsiukdavyd@example.com
Дурдинець,Семен,Петрович,Чоловіча,1998-09-05,Електромонтер,хутір Заліщики,"площа 1-ша Лінія Марії Демченко, буд. 0 кв. 5, Шумськ, 08597",+380 (13) 988-67-74,kyrylo30@example.net
Андріїшина,Єлисей,Олександрович,Чоловіча,1997-01-17,Хореограф,місто Старокостянтинів,"вулиця Журавлина, буд. 070, Рені, 51501",035 455-86-26,durdynetsvalerii@example.org
Михалюк,Вадим,Михайлович,Чоловіча,1957-10-30,Ветеринар,село Яремче,"парк Листяна, буд. 75 кв. 842, Буча, 26652",034 786-97-96,myron73@example.com
Канівець,Аркадій,Юрійович,Чоловіча,1975-12-27,Фрілансер,село Алмазна,"шосе Капітана Кузнецова, буд. 34 кв. 7, Бровари, 49981",+380 09 370 58 32,kovpakoleksa@example.org
Давиденко,Лесь,Іванович,Чоловіча,1995-08-03,Дипломат,хутір Дружківка,"узвіз Пшенична, буд. 721, Моспине, 12280",900 73 71,lukian73@example.com
Затула,Антон,Павлович,Чоловіча,1983-02-20,Паблік рилейшнз,хутір Гнівань,"вулиця Тарутинська, буд. 2 кв. 72, Скадовськ, 32357",+380 58 954-51-36,fliashko@example.org
Дутка,Аркадій,Анатолійович,Чоловіча,1996-06-29,Єгер,місто Долина,"шосе Соні Делоне, буд. 93 кв. 7, Сніжне, 37389",+380 93 093-76-56,xbabiuk@example.org
Іващенко,Олесь,Сергійович,Чоловіча,2005-03-10,Електрик,хутір Полонне,"шосе Леха Качинського, буд. 923, Кілія, 23198",+380 86 272-21-63,avreliidrobiazko@example.org
Пелех,Павло,Володимирович,Чоловіча,1962-11-14,Агроном,хутір Куп'янськ,"шосе Андрія Музичка, буд. 71, Жашків, 88151",016 673-72-08,dzaporozhets@example.net
Худяк,Ярослав,Михайлович,Чоловіча,1971-03-07,Клавішник,селище Андрушівка,"узвіз Зоопаркова, буд. 82, Верхньодніпровськ, 92479",+380 (05) 270-56-51,iivanchenko@example.net
Гаєвський,Кирило,Олександрович,Чоловіча,1949-04-08,Дипломат,селище Прип'ять,"набережна 14-та ст. Великого Фонтану пляж, буд. 5, Коломия, 76048",133 90 03,chalamykhailyna@example.net
Андрусенко,Болеслав,Петрович,Чоловіча,1985-08-09,Гірник,селище Біла Церква,"проспект Тепличний 2-й, буд. 1 кв. 12, Збараж, 94978",+380 86 905-56-84,lupiidan@example.com
Свистун,Опанас,Сергійович,Чоловіча,1949-01-27,Палеонтолог,селище Чернівці,"провулок Лінія 43-тя, буд. 330, Камінь-Каширський, 38569",+380 38 157 99 53,anitashynkarenko@example.net
Журба,Альберт,Олександрович,Чоловіча,1993-09-19,Геолог,хутір Заводське,"парк Казковий, буд. 7 кв. 15, Середина-Буда, 94336",+380 (79) 096-56-47,myroslav29@example.net
Алексійчук,Данило,Володимирович,Чоловіча,1979-05-20,Пілот,місто Лисичанськ,"проспект Гранатна, буд. 52 кв. 94, Гола Пристань, 92517",+380 67 731 06 51,mykhailyna66@example.com
Ярема,Семен,Юрійович,Чоловіча,1961-01-21,Фізик,місто Новоселиця,"проспект Саксаганського, буд. 03 кв. 7, Красногорівка, 86503",+380 26 698-98-30,teslenkovarfolomii@example.org
Гавришкевич,Хома,Михайлович,Чоловіча,1948-12-18,Гінеколог,місто Погребище,"сквер Одеська, буд. 616, Нове Давидково, 15787",578-33-94,neporozhniipriska@example.net
Арсенич,Левко,Юрійович,Чоловіча,1976-12-07,Слідчий,село Хрестівка,"площа Бучми, буд. 2 кв. 9, Борислав, 09457",+380 69 031-86-32,anzhelakolesnychenko@example.net
Карпенко,Михайло,Володимирович,Чоловіча,2001-12-04,Гицель,селище Бориспіль,"проспект Зоряна, буд. 3, Рогатин, 98155",+380 (52) 742-93-80,artemnosachenko@example.com
Наливайко,Пармен,Павлович,Чоловіча,1977-06-09,Громадський діяч,місто Малин,"парк 19-й км Старокиївської дороги, буд. 83 кв. 6, Керч, 84822",592 86 80,iukhymartemenko@example.net
Жадан,Тимофій,Олександрович,Чоловіча,1989-12-12,Співак,хутір Берегове,"узвіз Деревообробний 4-й, буд. 104 кв. 402, Шпола, 22796",+380 27 333-31-57,zarubaheorhii@example.com
Шведченко,Веніямин,Володимирович,Чоловіча,1939-03-19,Гірник,село Звенигородка,"сквер Героїв оборони Одеси, буд. 775, Кодима, 30605",+380 36 961-65-32,dotsenkovarvara@example.net
Верес,Назар,Юрійович,Чоловіча,1954-05-20,Геолог,село Узин,"проспект Пiвденний, буд. 921 кв. 9, Кремінна, 07330",+380 04 057-64-31,shvachkoodarka@example.org
Вдовиченко,Едуард,Іванович,Чоловіча,1971-12-14,Гінеколог,село Батурин,"проспект Виноградна 2-га, буд. 600, Решетилівка, 13989",022 802 87 63,viacheslav30@example.com
Бездітко,Аарон,Павлович,Чоловіча,1955-10-12,Головний меркшейдер,селище Тульчин,"набережна Ф. Пішеніна, буд. 6 кв. 444, Сватове, 50343",+380 66 401-88-45,arkhymovychleon@example.net
Чміль,Вадим,Анатолійович,Чоловіча,1969-04-06,Футболіст,хутір Знам'янка,"узвіз Лінія 46-та, буд. 544, Виноградів, 25928",+380 58 274-39-79,hgalagan@example.org
Дробʼязко,Теодор,Іванович,Чоловіча,1953-05-24,Головний меркшейдер,селище П'ятихатки,"парк Павла Кравцова, буд. 860, Світловодськ, 95969",+380 75 254-80-02,frants51@example.net
Скорик,Варфоломій,Іванович,Чоловіча,2006-11-04,Стоматолог,місто Судак,"сквер Сливова, буд. 2 кв. 35, Новогродівка, 91195",+380 (07) 617-98-47,chuikoviktoriia@example.org
Кащенко,Миколай,Анатолійович,Чоловіча,1986-03-30,Доцент,хутір Збараж,"вулиця Запорізька, буд. 057 кв. 76, Брянка, 05047",+380 41 835-87-22,ruslanskopenko@example.org
Ковпак,Адам,Іванович,Чоловіча,1999-01-28,Астроном,селище Кремінна,"набережна Богдана Хмельницького, буд. 0, Баранівка, 89421",001 816 63 19,kabanenkolevko@example.com
Баклан,Тарас,Володимирович,Чоловіча,1957-04-27,Сантехнік,місто Сніжне,"площа Флотський 3-й, буд. 56 кв. 257, Христинівка, 78227",221-67-42,lukian98@example.com
Бабич,Олесь,Михайлович,Чоловіча,1958-11-26,Історик,селище Горлівка,"вулиця Степова, буд. 870 кв. 6, Люботин, 93827",+380 43 063-21-20,dmytro32@example.com
Назаренко,Мирослав,Михайлович,Чоловіча,1940-08-02,Живописець,селище Чугуїв,"проспект Східчастий 3-й, буд. 85 кв. 80, Прилуки, 76892",+380 (39) 454-66-82,fedir35@example.com
Цісик,Варфоломій,Іванович,Чоловіча,1968-03-10,Агроном,місто Бердичів,"шосе Восьмого березня 3-й, буд. 26, Старий Крим, 52362",+380 (43) 734-32-82,mnesterenko@example.net
Цісик,Дмитро,Андрійович,Чоловіча,1969-05-23,Маркетолог,місто Перемишляни,"шосе Бібліотечна, буд. 3 кв. 862, Новомиргород, 07708",569-02-87,mmatviienko@example.org
Верменич,Тимофій,Павлович,Чоловіча,1967-07-12,Кушнір,хутір Ананьїв,"проспект Волокидіна, буд. 7 кв. 2, Чернігів, 77866",660-31-08,rostyslavtsiutsiura@example.net
Тимчук,Мирон,Володимирович,Чоловіча,1973-05-04,Літературознавець,селище Донецьк,"парк Чорноморський, буд. 54 кв. 32, Волочиськ, 79702",+380 (49) 065-39-42,solomiia06@example.net
Хомик,Гаврило,Петрович,Чоловіча,1974-11-06,Геолог,селище Синельникове,"парк Старосінна, буд. 11, Заліщики, 84917",004 576 82 38,irena31@example.org
Ємець,Федір,Андрійович,Чоловіча,1961-06-14,Епідеміолог,село Снігурівка,"провулок Решата Аметова, буд. 9 кв. 94, Чуднів, 14614",+380 (29) 522-84-68,jkorolenko@example.com
Гаврилюк,Спас,Олександрович,Чоловіча,1993-11-14,Головний меркшейдер,хутір Чернігів,"узвіз Біржова, буд. 045, Сніжне, 83862",+380 90 157 92 64,kostiantyn22@example.org
Щербак,Веніямин,Петрович,Чоловіча,1946-11-20,Гірник,місто Южне,"шосе Овідіопольська, буд. 75, Новоград-Волинський, 63837",+380 48 528 43 67,uandriishyn@example.net
Карпенко,Августин,Іванович,Чоловіча,1973-05-02,Електромонтер,село Моспине,"провулок Квіткова, буд. 087, Дрогобич, 76495",083 039-60-54,pduplii@example.org
Ярош,Амвросій,Андрійович,Чоловіча,1986-03-20,Живописець,хутір Липовець,"вулиця Зелений, буд. 656 кв. 19, Зміїв, 14957",+380 98 866 45 82,rbhydenko@example.net
Їжак,Ілля,Сергійович,Чоловіча,1955-02-03,Психолог,село Вишневе,"площа Амундсена, 2-й, буд. 8, Шумськ, 35124",045 694 64 06,btkachenko@example.net
Чуприна,Станіслав,Анатолійович,Чоловіча,1995-07-16,Диригент,хутір Зимогір'я,"провулок Амундсена, 1-й, буд. 02, Щолкіне, 01103",007 465 98 34,veniiamyn78@example.org
Скиба,Веніямин,Сергійович,Чоловіча,1985-02-28,Драматург,село Покровськ,"провулок Горизонтальна, буд. 7 кв. 10, Стрий, 67088",417 05 36,skorobohatkodemian@example.net
Ґереґа,Хома,Петрович,Чоловіча,1995-04-27,Бізнесмен,село Новоград-Волинський,"вулиця Юннатів 2-й, буд. 497 кв. 38, Щастя, 78309",999 96 96,odeineko@example.org
Матвієнко,Іван,Іванович,Чоловіча,1972-05-02,Психолог,місто Заводське,"проспект Казковий, буд. 21 кв. 118, Городище, 53632",078 460 10 61,liubovperepelytsia@example.com
Титаренко,Левко,Петрович,Чоловіча,1972-01-21,Астроном,місто Валки,"набережна Миколи Леонтовича, буд. 7 кв. 402, Ромни, 80300",084 761-69-84,maksymkabaliuk@example.net
Габелко,Валерій,Петрович,Чоловіча,1944-11-21,Детектив,село Святогірськ,"набережна Георгія Гамова, буд. 03, Вишневе, 07040",944 56 76,okhrim42@example.com
Непорожній,Артем,Андрійович,Чоловіча,1984-03-06,Палеонтолог,село Кілія,"вулиця Донцова Дмитра, буд. 7 кв. 5, Калинівка, 82519",+380 91 486 40 51,eiaremchuk@example.net
Яременко,Орхип,Олександрович,Чоловіча,1995-04-08,Дантист,хутір Харків,"шосе Зої Бутенко, буд. 233, Сорокине, 26406",428-54-01,jtelizhenko@example.net
Заїка,Адам,Сергійович,Чоловіча,1976-12-31,Каскадер,місто Сокологірськ,"парк Сливовий, буд. 27 кв. 492, Барвінкове, 40515",092 48 86,marusiakarmaliuk@example.net
Талан,Святослав,Павлович,Чоловіча,1999-11-16,Біолог,селище Добромиль,"вулиця Лінія 38-ма, буд. 88, Гайсин, 69177",+380 26 205 03 97,ivenhrynovych@example.net
Охримович,Нестор,Андрійович,Чоловіча,1990-10-05,Штукатур,селище Білопілля,"парк Спортивна, буд. 5, Дергачі, 81897",+380 96 508 58 41,iaremenkozakhar@example.com
Гриценко,Сергій,Володимирович,Чоловіча,2007-08-24,Соціолог,селище Ірміно,"вулиця Шкіперська, буд. 15 кв. 4, Обухів, 02685",926 29 86,iakymenko@example.org
Чарниш,Пармен,Петрович,Чоловіча,1979-11-22,Машиніст,місто Покровськ,"набережна Березова, буд. 269 кв. 394, Ровеньки, 98410",+380 (95) 386-56-44,amaliia59@example.org
Лаба,Давид,Михайлович,Чоловіча,1965-07-28,Кушнір,село Кремінна,"проспект Академіка Сахарова, буд. 8 кв. 15, Харків, 86715",+380 73 103-35-64,virababenko@example.net
Охримович,Августин,Андрійович,Чоловіча,1955-01-11,Редактор,місто Іллінці,"вулиця Морський, буд. 85, Баранівка, 11468",411-58-20,wpetryk@example.org
Жадан,Устим,Іванович,Чоловіча,1985-02-03,Модель,місто Новоазовськ,"проспект Амбулаторна, буд. 540, Боково-Хрустальне, 36801",021 909 36 64,derehusprokhir@example.net
Швачка,Охрім,Володимирович,Чоловіча,1947-06-01,Сценарист,селище Конотоп,"узвіз Балківська, буд. 8 кв. 845, Копичинці, 13988",+380 35 353 06 68,nehodaorysia@example.com
Карпенко,Єфрем,Юрійович,Чоловіча,1946-03-19,Режисер,хутір Заліщики,"парк Скляний 2-й, буд. 351, Перечин, 54237",905-72-48,drozdemiliia@example.org
Баран,Ярослав,Юрійович,Чоловіча,1959-12-04,Флорист,хутір Вугледар,"сквер Сашка Хорошенка, буд. 57 кв. 398, Генічеськ, 64239",+380 (67) 621-15-57,hchaban@example.com
Бабко,Демʼян,Андрійович,Чоловіча,1962-01-25,Фотограф,хутір Зеленодольськ,"шосе Адміральський, буд. 9, Жашків, 89336",337-98-79,huziistanislav@example.com
Жарко,Леонтій,Сергійович,Чоловіча,1958-11-28,Нотаріус,село Тлумач,"узвіз Івана Луценка, буд. 5, Борислав, 54208",+380 91 546 50 53,zhadaniukhym@example.com
Бебешко,Орест,Петрович,Чоловіча,1941-11-11,Бухгалтер,село Христинівка,"узвіз Китобійна, буд. 4 кв. 697, Федорівка, 32507",+380 62 354-21-00,psirchenko@example.com
Левченко,Варфоломій,Андрійович,Чоловіча,1941-02-07,Нотаріус,село Макіївка,"парк Підйомний, буд. 3, Вижниця, 96504",+380 44 212-99-25,ltokar@example.net
Вакарчук,Теодор,Михайлович,Чоловіча,1992-06-07,Кінорежисер,село Ужгород,"площа Амундсена, 3-й, буд. 62, Устилуг, 78141",013 521 46 19,alekseienkoustym@example.org
Рева,Аркадій,Петрович,Чоловіча,1943-09-13,Геолог,село Васильків,"площа Центральний аеропорт, буд. 142, Лутугине, 16834",+380 82 198 55 62,danna62@example.net
Христич,Юхим,Петрович,Чоловіча,1938-11-28,Кінолог,село Жовті Води,"шосе Будівельна, буд. 9, Багачеве, 62311",+380 81 355-47-27,mykhailo53@example.com
Перебийніс,Олександр,Петрович,Чоловіча,1971-06-19,Ґрунтознавець,селище Коростень,"узвіз Жаботинського, буд. 67, Нікополь, 65275",+380 71 842-91-00,solomon64@example.net
Абраменко,Святослав,Володимирович,Чоловіча,1982-03-11,Геолог,селище Лубни,"набережна Пилипа Орлика, буд. 512 кв. 8, Бунге, 45391",014 277 37 79,trokhymievdokymenko@example.com
Артимович,Ілля,Михайлович,Чоловіча,1995-07-25,Бібліограф,хутір Хотин,"парк Балтська дорога, буд. 1 кв. 53, Буськ, 41116",+380 45 516 53 72,danylopiatachenko@example.net
Василенко,Давид,Олександрович,Чоловіча,1985-08-03,Композитор,місто Яворів,"площа Луїджі Іоріні, буд. 9, Славутич, 10531",+380 63 251-46-07,pylyp60@example.net
Жук,Валентин,Павлович,Чоловіча,1967-03-12,Ріелтор,селище Ворожба,"узвіз Проїзний 2-й, буд. 29 кв. 4, Феодосія, 85804",025 548-97-20,sirchenkookseniia@example.org
Лупій,Марко,Володимирович,Чоловіча,1944-03-03,Паралегал,село Сторожинець,"провулок Астрономічний, буд. 97 кв. 46, Снятин, 25077",+380 (75) 785-05-93,dmytroiurchuk@example.net
Левченко,Мирослав,Андрійович,Чоловіча,1946-11-02,Флорист,селище Шпола,"парк Композитора Вербицького, буд. 5 кв. 8, Канів, 37165",918-79-65,alevtynhuzii@example.com
Литвин,Альберт,Іванович,Чоловіча,1999-08-08,Ґрунтознавець,селище Звенигородка,"сквер Яблунева, буд. 6 кв. 454, Христинівка, 83733",357 11 60,pbaranets@example.com
Шеремет,Аврелій,Павлович,Чоловіча,1973-04-07,Бухгалтер,селище Устилуг,"провулок Преображенська, буд. 3 кв. 6, Підгородне, 44811",412 59 40,leopoldchornovil@example.com
Цісик,Франц,Юрійович,Чоловіча,1970-04-26,Журналіст,село Богуслав,"узвіз Гетьманський, буд. 21, Старокостянтинів, 95401",404 39 10,mbaran@example.net
Піддубна,Ростислав,Петрович,Чоловіча,1986-06-29,Фізик,хутір Яготин,"провулок Садова 4-та, буд. 239, Хрустальний, 28051",042 081 84 89,zhukkhoma@example.org
Карпа,Олекса,Володимирович,Чоловіча,1990-12-30,Геофізик,місто Южноукраїнськ,"узвіз Лазурського, буд. 4, Конотоп, 97235",001 07 85,kyryloperebyinis@example.com
Медведенко,Володимир,Михайлович,Чоловіча,1977-06-05,Кінокритик,хутір Горохів,"узвіз Сінна, буд. 31 кв. 28, Решетилівка, 68659",067 663 88 06,romanvitruk@example.org
Рубан,Остап,Володимирович,Чоловіча,2002-05-11,Локсмайстер,село Часів Яр,"набережна Чорноморський 6-й, буд. 20 кв. 597, Золотоноша, 04479",266-48-17,viktoriia90@example.net
Гук,Леопольд,Юрійович,Чоловіча,1958-10-20,Пекар,хутір Армянськ,"парк Десятого квітня, буд. 9 кв. 6, Южноукраїнськ, 45143",+380 (17) 328-64-94,landriichuk@example.com
Гоголь,Остап,Юрійович,Чоловіча,1979-08-26,Редактор,село Снятин,"шосе Квітнева, буд. 2, Суми, 22197",+380 02 698-77-58,oshapoval@example.com
Луценко,Йосип,Сергійович,Чоловіча,1988-10-09,Штукатур,хутір Вилкове,"набережна Аеродромна, буд. 7 кв. 004, Новогродівка, 40966",089 646 30 53,demianzakharenko@example.net
Дашкевич,Тимофій,Анатолійович,Чоловіча,1973-03-09,Підприємець,місто Волочиськ,"шосе Донорська, буд. 941, Сміла, 73413",+380 62 715-50-42,bohuslava35@example.org
Фаренюк,Борис,Сергійович,Чоловіча,1980-01-05,Бізнесмен,хутір Білозерське,"провулок Ашгабатська, буд. 40 кв. 613, Баштанка, 34868",+380 (90) 094-52-27,korzhihor@example.net
Конопля,Герман,Павлович,Чоловіча,1946-10-23,Візажист,місто Лохвиця,"сквер Охтирський, буд. 764 кв. 5, Мукачево, 26884",443-36-26,tsisykprokhir@example.com
Андрійчук,Юстим,Сергійович,Чоловіча,1977-10-13,Підприємець,хутір Новий Буг,"шосе Генуезька, буд. 2, Перемишляни, 35848",439-97-88,ihorpanchuk@example.com
Ковалюк,Данило,Михайлович,Чоловіча,1986-02-11,Астроном,хутір Переяслав,"провулок Прилуцький, буд. 891, Малин, 62558",+380 92 212-60-77,leonidsych@example.com
Деревʼянко,Єлисей,Михайлович,Чоловіча,1986-10-04,Зоолог,селище Барвінкове,"провулок Прибережний, буд. 13, Севастополь, 49630",008 822-37-00,valentynkovaliuk@example.org
Дробʼязко,Богодар,Сергійович,Чоловіча,1978-09-06,Няня,село Покровськ,"шосе Бардаха, буд. 55, Арциз, 89514",475-05-87,vhodunok@example.org
Колісниченко,Устим,Петрович,Чоловіча,1969-10-29,Медик,село Мукачево,"площа 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 6 кв. 059, Снятин, 42758",044 455 73 15,wvernyhora@example.org
Тихий,Марко,Анатолійович,Чоловіча,1990-09-01,Електротехнік,хутір Узин,"парк Гранатний, буд. 166 кв. 328, Алушта, 15284",568-24-89,avreliikalenychenko@example.org
Іваничук,Василь,Анатолійович,Чоловіча,1951-03-07,Флорист,село Люботин,"сквер Подільська, буд. 02, П'ятихатки, 73512",012 193 45 09,fvlasenko@example.net
Гузій,Устим,Петрович,Чоловіча,1986-08-26,Євнух,місто Скадовськ,"узвіз Ігоря Ветрогонова, буд. 5 кв. 4, Комарно, 70537",+380 18 301-61-60,samoilenkoonysym@example.net
Смик,Степан,Петрович,Чоловіча,1984-03-26,Сценарист,село Помічна,"площа Тупиковий, буд. 466, Рені, 99725",+380 94 530-74-48,afranchuk@example.com
Авраменко,Феофан,Андрійович,Чоловіча,1944-11-23,Пілот,село Нова Одеса,"проспект Овідіопольська дуга, буд. 027 кв. 3, Святогірськ, 79815",051 438-89-04,xzhuchenko@example.net
Дейнеко,Демʼян,Андрійович,Чоловіча,2006-11-28,Стиліст,хутір Сімферополь,"узвіз Флотська, буд. 6, Копичинці, 95904",+380 (14) 051-23-45,oleksandr49@example.com
Чміль,Єлисей,Юрійович,Чоловіча,1958-11-30,Композитор,місто Маріуполь,"площа Флейтовий, буд. 830, Бершадь, 26917",+380 40 540-13-97,derehusoryna@example.org
Дашенко,Леопольд,Володимирович,Чоловіча,1964-11-27,Електротехнік,хутір Кальміуське,"набережна Героїв Крут, буд. 37 кв. 47, Макіївка, 56835",+380 13 260 43 14,marta48@example.com
Жадан,Григорій,Сергійович,Чоловіча,1952-01-20,Актор,хутір Ірпінь,"узвіз Чорноморський 9-й, буд. 25, Дніпрорудне, 24813",+380 12 455-50-87,mykytavashchenko@example.net
Зайченко,Леон,Сергійович,Чоловіча,1974-05-09,Реабілітолог,село Білопілля,"шосе Левадна, буд. 9 кв. 6, Шахтарськ, 11353",+380 58 232 60 99,antonmatiash@example.net
Салій,Михайло,Михайлович,Чоловіча,1965-12-17,Правник,місто Покровськ,"шосе Весела, буд. 99 кв. 49, Рені, 93853",039 273 13 85,bliashko@example.net
Онищенко,Спас,Андрійович,Чоловіча,1992-03-10,Няня,селище Глиняни,"набережна Аркадійська, буд. 92, Прип'ять, 83048",+380 06 032-51-24,babiukvasyl@example.org
Забара,Валерій,Анатолійович,Чоловіча,1984-10-16,Сантехнік,селище Дніпро,"парк Миколаївський 1-й, буд. 747, Радивилів, 58274",+380 21 969-63-22,adamsliusar@example.org
Деряжна,Володимир,Михайлович,Чоловіча,1968-07-29,Географ,селище Керч,"вулиця Лінійний, буд. 752, Красноперекопськ, 97118",367 60 28,eduardizhak@example.net
Михалюк,Семен,Петрович,Чоловіча,1975-08-28,Єгер,хутір Тернівка,"провулок Килимова, буд. 78, Камінь-Каширський, 06082",+380 52 520 66 04,oksana89@example.net
Вакуленко,Демид,Павлович,Чоловіча,1975-05-25,Будник,село Ковель,"вулиця Олексія Косяченко, буд. 494, Ровеньки, 27699",+380 89 891 28 61,ilienkokamilla@example.com
Рубець,Євген,Іванович,Чоловіча,2002-12-04,Правник,хутір Суми,"сквер Кипарисний 3-й, буд. 41 кв. 1, Українськ, 16257",+380 16 867-10-37,symon27@example.org
Лавренко,Устим,Анатолійович,Чоловіча,1941-06-14,Кушнір,хутір Кременець,"парк Богуна, буд. 057, Алупка, 32313",005-93-29,miroshnychenkoomelian@example.org
Єрченко,Венедикт,Юрійович,Чоловіча,1984-05-01,Ветеринар,місто Самар,"сквер Лінійний, буд. 929, Полонне, 50605",+380 35 927 86 05,vertyporokhprokhir@example.net
Саченко,Григорій,Сергійович,Чоловіча,2000-05-02,Правник,місто Яготин,"площа Пантелеймонівська, буд. 872, Саки, 39760",532 44 61,onysym66@example.com
Ісаєвич,Левко,Олександрович,Чоловіча,1945-12-29,Підприємець,місто Джанкой,"провулок Євгена Крамаренка, буд. 2, Березівка, 90982",+380 47 066-37-56,fkybkalo@example.org
Абраменко,Ярослав,Анатолійович,Чоловіча,1970-02-22,Математик,селище Сіверськ,"провулок Амбулаторний 2-й, буд. 82, Носівка, 46563",052 347 50 47,ievapalii@example.org
Швачка,Спас,Анатолійович,Чоловіча,1979-02-01,Льотчик,місто Судова Вишня,"провулок Садова 3-тя, буд. 73, Ямпіль, 07637",650-15-18,rostyslav09@example.org
Кармалюк,Хома,Сергійович,Чоловіча,1974-09-25,Художник,село Чуднів,"проспект Астрономічна, буд. 31 кв. 362, Кам'янка-Дніпровська, 38813",+380 30 946-12-11,fedir08@example.org
Ярош,Августин,Юрійович,Чоловіча,1943-06-03,Ді-джей,селище Здолбунів,"сквер Зарічна, буд. 050 кв. 84, Маріуполь, 74591",+380 73 602-51-42,olenaperepelytsia@example.com
Остапчук,Олег,Сергійович,Чоловіча,1975-04-10,Науковець,село Південне,"провулок Головна, буд. 11 кв. 0, Українка, 36729",240 50 78,nikoliukbohuslava@example.com
Усик,Демʼян,Андрійович,Чоловіча,1985-04-20,Петрограф,село Сокологірськ,"проспект Новосельского, буд. 94 кв. 78, Марганець, 32237",+380 86 205-11-00,dhavrylets@example.com
Демʼяненко,Тимофій,Сергійович,Чоловіча,1948-05-27,Мірошник,місто Шахтарськ,"проспект Лиманчик 2-й Лінія 1-ша, буд. 6 кв. 590, Южне, 67040",+380 96 957 58 81,lytvynbohuslav@example.com
Прокопович,Віталій,Юрійович,Чоловіча,1940-07-09,Кінорежисер,хутір Новоазовськ,"набережна Кладовищенська, буд. 6, Збараж, 84084",410 20 86,bebeshkoalevtyn@example.com
Вдовиченко,Степан,Анатолійович,Чоловіча,1939-06-02,Пілот,місто Комарно,"проспект Наливна, буд. 0 кв. 1, Керч, 47255",954-39-63,olha55@example.org
Даньків,Демʼян,Сергійович,Чоловіча,1990-03-09,Археолог,селище Коломия,"площа Нафтовиків, буд. 23 кв. 4, Борислав, 84139",370-64-25,heorhii69@example.com
Базилевська,Сергій,Петрович,Чоловіча,1970-12-18,Акушер,селище Балта,"проспект Лінія 42-га, буд. 372, Свалява, 48249",470-83-32,avhustyn03@example.com
